iso3,year,obesity
GAB,2008,13.727973
CMR,2009,10.885984
COM,2012,4.7290068
RWA,2007,1.7194703
GNQ,2007,12.259708
MUS,2005,14.586334
GIN,2013,8.0177449
RWA,2002,1.202232
TZA,2017,4.7612213
ZAF,2001,32.777658
GAB,2011,7.9733491
GIN,1999,2.5029248
COD,1991,1.6448669
CMR,2016,12.818879
ETH,1999,0.60831024
LBR,1992,1.5108953
SLE,2001,6.0250714
TZA,2002,2.2574738
SSD,1993,1.0447494
SSD,2003,3.3967368
SYC,2000,19.117218
MAR,2001,11.733619
BEN,2018,5.9182364
MLI,2014,9.242899
SWZ,2007,7.2778307
GAB,2015,16.937871
CMR,2012,7.438983
NAM,2018,15.628593
GNB,2019,10.16773
ZMB,2022,11.078548
COM,2004,3.2264031
LBR,2011,6.4131521
RWA,2006,2.444301
SSD,1999,3.7070971
KEN,2012,12.151319
MOZ,2000,3.029385
NGA,2012,8.6651377
MLI,2018,9.598849
SOM,2015,3.8087863
LBR,1997,5.278771
MDG,2020,3.7420396
MRT,2010,23.720722
NGA,2014,9.2218213
ZWE,2011,15.192513
TZA,2001,5.6008022
ZWE,1993,5.8525216
CPV,1998,5.8523409
COM,2018,6.3536145
MOZ,2012,6.0980771
SSD,2001,4.1735079
BFA,2000,0.92653809
KEN,2000,2.1721505
ETH,1994,0.23046781
GNB,2003,6.6397846
NAM,2013,14.267106
ERI,2016,3.3566196
ZMB,2017,13.039796
MAR,1990,4.224021
MAR,2022,30.167252
LBY,2011,22.301237
LBY,2005,37.516037
UGA,2009,1.1870618
SSD,2022,5.1182222
DZA,2018,21.786548
BEN,2014,11.887115
SYC,2016,36.537176
STP,2003,8.0426253
NER,2016,3.1297542
BWA,2001,10.424459
CPV,2014,12.028439
SEN,2013,2.5966646
MLI,2010,6.2292356
LSO,2000,2.6530759
COD,1996,2.2533108
COM,1994,3.9525263
BWA,2007,19.973938
SLE,2002,4.1298665
COG,1995,5.9468661
DJI,2020,5.347608
COM,2015,18.786944
STP,1990,1.5602966
SSD,2005,5.2469093
AGO,2012,8.5220776
LBR,2013,10.732324
LSO,1996,9.2715636
LSO,2017,18.181264
MDG,1992,0.71525145
DZA,2005,15.608558
MWI,1996,0.84366715
COG,2014,11.631586
TGO,1994,1.0441479
EGY,2010,46.753904
ERI,2022,6.5995313
CIV,2005,3.9850302
SWZ,2019,41.337955
LBR,2010,9.40644
GHA,2012,10.238216
SYC,1994,23.884733
NAM,1993,10.385845
LBY,1999,15.535195
SYC,2011,15.595169
ZAF,2000,22.809054
COM,1991,5.1490616
DJI,1992,3.7922885
NER,2016,6.033529
RWA,1995,1.1275418
STP,2020,15.301241
MLI,2019,10.006309
GNB,1996,3.0149234
MWI,1997,2.4723109
MLI,2015,8.5115127
CPV,2010,14.877203
ERI,1990,0.43923822
EGY,2022,57.129252
SOM,2014,10.406199
ERI,2002,1.9362167
SSD,1991,1.7448656
STP,2015,12.923551
GNB,2014,10.863542
DZA,2022,15.5406
CPV,1992,1.9857949
TZA,2016,9.2205554
SLE,2020,10.858361
DZA,2021,15.071209
SEN,2005,6.0559209
COD,2018,7.4969411
GNB,2017,12.17977
CAF,2019,10.790354
TZA,2008,8.8239275
