iso3,year,tb_inc
ZMB,2024,272.0
NGA,2005,219.0
TUN,2000,57.0
MLI,2014,64.0
ZWE,2007,527.0
CIV,2020,118.0
LSO,2001,923.0
ZAF,2012,1160.0
MRT,2014,112.0
ZAF,2005,1210.0
CMR,2017,189.0
ZAF,2007,1270.0
SSD,2014,391.0
BFA,2000,93.0
COG,2024,302.0
COM,2010,44.0
MOZ,2019,361.0
EGY,2014,13.0
MUS,2011,16.0
CPV,2001,168.0
MRT,2019,89.0
AGO,2024,373.0
ZWE,2006,561.0
CAF,2000,681.0
KEN,2000,451.0
MOZ,2016,361.0
CMR,2003,206.0
TGO,2016,58.0
GNB,2014,218.0
MRT,2021,79.0
BWA,2002,901.0
MRT,2006,186.0
RWA,2018,64.0
CAF,2007,591.0
KEN,2006,646.0
BFA,2017,66.0
COD,2011,490.0
ZMB,2018,346.0
COG,2011,415.0
MLI,2017,60.0
SYC,2012,20.0
BFA,2008,79.0
EGY,2015,13.0
GMB,2015,173.0
GIN,2002,144.0
CMR,2011,259.0
ERI,2019,127.0
NGA,2009,219.0
TZA,2001,506.0
KEN,2004,634.0
CPV,2014,81.0
GIN,2006,177.0
MOZ,2006,345.0
DJI,2012,1020.0
GAB,2013,488.0
MLI,2000,76.0
GHA,2022,133.0
BDI,2013,136.0
MLI,2012,68.0
ZWE,2012,355.0
SOM,2003,345.0
DZA,2023,55.0
MAR,2005,97.0
ERI,2023,149.0
CPV,2006,106.0
COG,2012,402.0
BDI,2012,142.0
TUN,2022,39.0
RWA,2003,173.0
MUS,2018,16.0
CIV,2003,201.0
MUS,2000,32.0
KEN,2018,292.0
NGA,2013,219.0
TCD,2007,143.0
MWI,2021,132.0
MLI,2024,51.0
AGO,2013,453.0
GNQ,2017,229.0
SEN,2013,174.0
RWA,2011,76.0
MAR,2008,96.0
TUN,2014,47.0
MAR,2019,96.0
SOM,2017,182.0
GMB,2017,166.0
NGA,2008,219.0
KEN,2010,531.0
ETH,2005,366.0
TUN,2010,39.0
BDI,2018,106.0
COD,2003,576.0
AGO,2022,379.0
TCD,2016,152.0
SOM,2022,162.0
ERI,2007,417.0
MWI,2022,125.0
