iso3,year,uhc_index
LSO,2012,49.0
BFA,2002,17.0
EGY,2014,74.0
GAB,2000,38.0
BFA,2007,24.0
BEN,2018,36.0
ERI,2000,24.0
STP,2014,51.0
CAF,2000,23.0
UGA,2001,24.0
ZMB,2007,45.0
COM,2008,41.0
ZWE,2013,47.0
ERI,2021,39.0
SWZ,2018,67.0
DJI,2011,40.0
DJI,2012,41.0
UGA,2018,49.0
TGO,2020,38.0
ERI,2014,39.0
MUS,2018,76.0
TUN,2011,69.0
TZA,2011,42.0
NAM,2005,55.0
SSD,2017,35.0
BDI,2014,50.0
GMB,2023,53.0
NER,2014,33.0
TCD,2016,23.0
SYC,2006,65.0
STP,2005,47.0
MLI,2016,37.0
SYC,2022,79.0
KEN,2003,28.0
MAR,2010,63.0
BWA,2008,54.0
SDN,2017,47.0
GIN,2003,18.0
ZWE,2003,34.0
BDI,2019,49.0
DJI,2019,50.0
MWI,2006,33.0
CIV,2000,26.0
SYC,2005,64.0
TUN,2010,69.0
COM,2003,35.0
TGO,2011,33.0
EGY,2007,75.0
GMB,2009,50.0
SDN,2006,31.0
GIN,2014,37.0
LSO,2017,57.0
LSO,2007,41.0
CPV,2009,58.0
RWA,2000,18.0
MAR,2020,65.0
DZA,2005,68.0
CPV,2011,61.0
TUN,2020,76.0
MLI,2006,30.0
SWZ,2013,64.0
ZAF,2011,64.0
ZWE,2012,43.0
ETH,2015,30.0
SEN,2010,39.0
LSO,2014,53.0
GNQ,2022,49.0
KEN,2012,54.0
MLI,2000,24.0
GNQ,2000,24.0
MWI,2010,41.0
EGY,2008,75.0
GAB,2010,52.0
GHA,2013,46.0
CAF,2006,24.0
GHA,2014,46.0
TCD,2022,24.0
SOM,2016,26.0
AGO,2021,38.0
CIV,2012,37.0
AGO,2000,28.0
AGO,2019,45.0
MLI,2009,35.0
COG,2015,41.0
GMB,2001,37.0
GHA,2015,49.0
SEN,2018,47.0
BFA,2006,23.0
MRT,2007,26.0
LSO,2023,55.0
CAF,2001,23.0
DZA,2015,72.0
