iso3,year,dtp3
SOM,2014,46.0
MUS,2009,99.0
GAB,2017,75.0
UGA,2003,59.0
BWA,2003,96.0
LBR,2010,70.0
GIN,2019,53.0
CIV,2004,68.0
GNQ,2006,46.0
ERI,2010,95.0
MAR,2005,98.0
NAM,2017,88.0
CIV,2000,65.0
DJI,2006,72.0
GNB,2013,87.0
CIV,2014,73.0
SOM,2019,57.0
SEN,2000,52.0
ETH,2021,63.0
MLI,2018,76.0
MAR,2014,99.0
GIN,2013,56.0
MUS,2006,97.0
SLE,2011,89.0
MAR,2006,97.0
BFA,2009,92.0
ZMB,2016,95.0
TUN,2004,97.0
GAB,2022,60.0
BDI,2017,91.0
BEN,2005,70.0
SWZ,2009,88.0
MLI,2003,63.0
MAR,2018,99.0
ZWE,2010,89.0
DZA,2008,93.0
SYC,2008,99.0
UGA,2019,93.0
RWA,2002,88.0
DJI,2018,84.0
MDG,2018,74.0
GIN,2022,58.0
MRT,2019,80.0
CPV,2006,96.0
NGA,2009,63.0
ERI,2019,95.0
COG,2018,75.0
BEN,2006,74.0
CPV,2015,93.0
COG,2008,80.0
BDI,2011,96.0
BFA,2003,79.0
KEN,2009,88.0
DZA,2022,77.0
TGO,2016,82.0
ZAF,2017,84.0
RWA,2003,96.0
MAR,2019,99.0
COD,2005,61.0
KEN,2022,94.0
EGY,2005,98.0
SOM,2004,30.0
UGA,2011,82.0
GAB,2004,45.0
RWA,2000,90.0
BFA,2005,82.0
COD,2023,60.0
RWA,2014,98.0
COD,2015,70.0
MLI,2013,64.0
CPV,2001,90.0
BEN,2003,73.0
AGO,2009,47.0
BEN,2004,72.0
MUS,2019,96.0
SEN,2016,93.0
SWZ,2022,97.0
NGA,2000,29.0
MLI,2016,76.0
ZAF,2023,79.0
TZA,2000,79.0
GNB,2016,85.0
ZMB,2007,80.0
NER,2002,39.0
MRT,2015,73.0
BEN,2013,77.0
GMB,2009,98.0
DJI,2013,82.0
GIN,2017,49.0
COG,2000,33.0
AGO,2015,57.0
LBY,2004,97.0
MOZ,2001,73.0
ZAF,2011,75.0
AGO,2024,64.0
CPV,2016,96.0
CPV,2013,93.0
SOM,2016,49.0
TCD,2000,38.0
CMR,2011,81.0
AGO,2007,43.0
MWI,2004,89.0
LSO,2000,84.0
ZWE,2016,90.0
ZMB,2013,79.0
CPV,2003,92.0
CPV,2008,99.0
RWA,2022,98.0
CMR,2004,73.0
ERI,2014,94.0
COD,2001,30.0
LBR,2020,66.0
SWZ,2017,90.0
COM,2001,70.0
MWI,2008,91.0
ZAF,2014,85.0
NAM,2010,83.0
BDI,2004,83.0
COM,2005,68.0
MUS,2011,98.0
GNB,2008,77.0
TUN,2017,98.0
MRT,2004,70.0
COG,2017,69.0
BWA,2017,95.0
SSD,2016,45.0
ZAF,2018,82.0
MRT,2024,86.0
DZA,2019,88.0
AGO,2013,54.0
GNQ,2012,54.0
SWZ,2016,90.0
LSO,2011,96.0
MLI,2015,70.0
COG,2015,80.0
COG,2001,31.0
GMB,2022,79.0
GHA,2001,79.0
ERI,2013,94.0
SOM,2017,51.0
AGO,2008,45.0
ERI,2016,95.0
MWI,2015,88.0
SYC,2022,97.0
BEN,2001,76.0
ZWE,2009,73.0
UGA,2020,89.0
GHA,2019,97.0
BWA,2011,95.0
NGA,2016,53.0
GMB,2023,84.0
TUN,2010,98.0
LBR,2008,75.0
LBR,2003,35.0
NAM,2018,89.0
MLI,2005,77.0
EGY,2016,95.0
GAB,2013,79.0
RWA,2021,88.0
LBY,2002,93.0
SYC,2017,97.0
GIN,2014,52.0
CPV,2009,99.0
NER,2007,58.0
CPV,2024,93.0
BFA,2019,91.0
ETH,2019,61.0
BDI,2000,80.0
LBY,2018,73.0
NAM,2003,79.0
CMR,2021,71.0
COD,2018,71.0
MWI,2009,93.0
CIV,2008,74.0
GIN,2023,60.0
CIV,2019,79.0
DZA,2018,91.0
EGY,2023,96.0
COD,2017,71.0
BEN,2023,69.0
SWZ,2015,90.0
SWZ,2008,88.0
CMR,2008,84.0
TGO,2017,84.0
MRT,2020,81.0
ZWE,2006,70.0
TGO,2023,90.0
KEN,2016,88.0
BEN,2008,75.0
CAF,2013,23.0
GIN,2024,63.0
CMR,2015,76.0
TZA,2010,91.0
SYC,2018,99.0
KEN,2019,93.0
GHA,2018,97.0
UGA,2015,89.0
SEN,2002,60.0
ETH,2008,54.0
ZWE,2019,90.0
MUS,2013,98.0
BFA,2011,91.0
CAF,2001,40.0
GHA,2007,94.0
SDN,2004,74.0
MDG,2000,57.0
ERI,2020,95.0
MRT,2003,76.0
BWA,2016,95.0
RWA,2010,97.0
SEN,2011,92.0
GNB,2005,68.0
DJI,2003,68.0
NER,2018,79.0
BFA,2000,45.0
SOM,2010,45.0
GNQ,2005,44.0
COM,2000,70.0
COD,2024,65.0
LBY,2013,96.0
SDN,2012,92.0
BFA,2015,91.0
ETH,2000,30.0
ZWE,2004,65.0
MDG,2008,77.0
CAF,2015,43.0
TGO,2021,87.0
TUN,2019,98.0
MRT,2007,75.0
CIV,2010,78.0
GAB,2000,45.0
COG,2021,77.0
COM,2017,79.0
CPV,2010,99.0
UGA,2008,71.0
ZAF,2012,71.0
COD,2007,65.0
NGA,2023,67.0
BFA,2001,62.0
KEN,2003,73.0
GNB,2003,60.0
SOM,2024,70.0
UGA,2002,57.0
MUS,2002,88.0
BWA,2024,95.0
BDI,2007,99.0
MAR,2011,99.0
SDN,2020,90.0
NAM,2006,86.0
NER,2001,36.0
SSD,2022,73.0
SLE,2015,86.0
GNQ,2004,43.0
ERI,2023,95.0
BWA,2007,96.0
TZA,2009,85.0
MDG,2020,67.0
