iso3,year,nurses
BFA,2018,1684.0
CMR,2004,3124.0
NAM,2024,1691.0
GHA,2007,1665.0
GHA,2016,3618.0
MAR,2008,17758.0
ETH,2022,13117.0
LSO,2024,431.0
DJI,1999,93.0
GIN,2024,1692.0
LSO,2003,89.0
UGA,2022,9052.0
BFA,2019,1910.0
NER,2015,634.0
ZMB,2004,1499.0
TUN,2004,9805.0
ETH,2005,2453.0
DJI,2014,201.0
TUN,2002,7964.0
ZAF,2015,43277.0
DZA,2016,74937.0
UGA,2020,7031.0
TUN,2017,14892.0
NER,2014,523.0
DZA,2014,69076.0
CPV,2011,292.0
MWI,2016,539.0
NGA,2007,55376.0
TUN,2009,12450.0
CIV,2020,4435.0
SEN,2020,1384.0
SEN,2023,1973.0
MWI,2020,958.0
SWZ,2009,173.0
MUS,2003,1173.0
MUS,2021,3775.0
CIV,2008,2746.0
MAR,2006,18269.0
MUS,2005,1342.0
CIV,2023,5169.0
BFA,2020,2061.0
TCD,2017,651.0
SYC,2006,75.0
ZWE,2015,2508.0
DZA,2010,56209.0
MOZ,2022,5719.0
GNB,2018,578.0
COM,2005,116.0
TCD,2020,1003.0
TGO,2015,361.0
GNB,2015,354.0
CAF,2015,324.0
SYC,2019,220.0
ZAF,2020,43901.0
GHA,2015,3263.0
CAF,2021,447.0
MUS,2013,2046.0
MLI,2015,1750.0
BFA,2010,713.0
NER,2018,818.0
MDG,2008,3719.0
SWZ,2001,179.0
ERI,2023,308.0
MDG,2013,3523.0
ETH,2020,12174.0
ZWE,2019,2532.0
NER,2004,296.0
GAB,2004,395.0
BEN,2011,546.0
ETH,2023,18413.0
GAB,2016,715.0
MAR,2012,15937.0
TUN,2005,9422.0
SLE,2020,576.0
CMR,2018,3259.0
BDI,2011,357.0
SDN,2015,15845.0
MUS,2009,1475.0
ERI,2020,291.0
MAR,2018,23374.0
SYC,2024,213.0
MUS,2010,1500.0
TUN,2018,15136.0
ERI,2015,212.0
CMR,2011,1842.0
MLI,2018,2454.0
MOZ,2012,1358.0
SYC,2010,100.0
LBY,2008,11163.0
COG,2010,494.0
CPV,2022,373.0
GHA,2017,2679.0
CMR,2007,1319.0
EGY,2016,77579.0
LBR,2015,168.0
GHA,2009,2033.0
GHA,2019,3236.0
MOZ,2017,2180.0
TGO,2018,611.0
GAB,2019,1368.0
NGA,2021,84277.0
BWA,2022,992.0
ZAF,2018,43503.0
RWA,2021,1614.0
ERI,2005,122.0
SYC,2012,93.0
ERI,2019,248.0
SYC,2004,121.0
MUS,2017,2927.0
ETH,2007,1806.0
CPV,2020,373.0
KEN,2021,5203.0
NAM,2020,1036.0
BEN,2004,311.0
MLI,2016,2247.0
COG,2007,401.0
GMB,2004,166.0
MUS,2023,3840.0
MRT,2021,1035.0
RWA,2018,1648.0
ZAF,2023,51579.0
MRT,2014,622.0
CMR,2010,1712.0
NGA,2005,39210.0
MLI,2024,7756.0
BFA,2014,857.0
SEN,2008,741.0
SEN,2017,1066.0
GAB,2017,1408.0
MLI,2014,1750.0
MUS,2014,2429.0
NGA,2013,65759.0
MLI,2008,934.0
TUN,2000,7444.0
BFA,2012,787.0
CMR,2009,1346.0
CPV,2023,381.0
GNB,2004,188.0
BWA,2018,925.0
TCD,2019,859.0
SDN,2006,11083.0
MAR,2007,16826.0
ZWE,1985,1058.0
ZMB,2019,4386.0
GMB,2020,196.0
GIN,2022,2946.0
SWZ,2017,208.0
TCD,1999,232.0
NGA,2018,74543.0
MRT,2018,850.0
ERI,2012,153.0
SYC,2005,104.0
MRT,2020,934.0
LBY,2004,7070.0
MAR,2003,16307.0
GHA,2024,9960.0
MDG,2011,3131.0
ZWE,2013,1114.0
KEN,2018,8042.0
GMB,2017,232.0
LBR,2004,103.0
BDI,2010,418.0
ZWE,2024,3092.0
BWA,2005,466.0
SYC,2009,103.0
BWA,2007,709.0
LBR,2010,90.0
CPV,2010,292.0
UGA,2015,3645.0
TCD,2013,573.0
