iso3,year,gghe
DJI,2019,1.28569102
ZMB,2015,2.0905416
ZMB,2021,2.82306838
MUS,2021,3.35773063
BWA,2012,4.09601831
SSD,2020,0.70622033
CPV,2017,2.55316591
BFA,2010,1.30630887
CAF,2000,1.7200942
UGA,2020,1.19107807
CMR,2001,0.7802825
DZA,2000,2.31351972
NGA,2017,0.53266305
GNB,2006,0.49984464
MRT,2012,0.89773965
TGO,2022,0.66535133
BDI,2005,2.06248069
NAM,2021,6.51885366
AGO,2022,1.30711842
BFA,2012,1.06450117
LBY,2006,1.50322449
COD,2007,0.21943448
MOZ,2012,1.23552883
DZA,2011,3.40776706
SEN,2022,1.08714914
BEN,2001,1.20063126
BWA,2017,5.01613283
GNQ,2019,0.8050639
GIN,2011,0.51036745
SEN,2013,1.17077053
TGO,2015,0.92438984
SOM,2022,0.31191349
SLE,2004,0.60742605
ETH,2011,0.3811754
SOM,2017,0.13631769
ERI,2006,0.81826532
DJI,2009,1.90362072
TGO,2012,1.16667867
ZAF,2000,2.68480206
GNQ,2008,0.48362917
MOZ,2016,1.7231313
KEN,2019,2.00870633
ERI,2010,1.00715244
LBY,2008,1.51853251
NGA,2004,1.202034
AGO,2015,1.08924341
BEN,2006,1.06306994
CMR,2016,0.36593068
GHA,2006,1.65231752
NER,2012,1.03993595
ERI,2022,0.90046018
MAR,2005,1.10253143
NER,2017,1.88514483
TUN,2002,2.65054178
BDI,2009,2.08079624
ZAF,2005,2.74503064
LBR,2015,1.20420825
MLI,2020,1.40269554
MDG,2011,1.67813444
TZA,2015,1.25726104
MOZ,2023,2.249192
BDI,2020,2.1569612
TUN,2013,3.8491714
MWI,2015,1.89914215
COG,2003,0.50115985
ERI,2016,0.7340641
TZA,2013,1.18517053
MRT,2009,0.87885523
SSD,2018,1.18756998
TUN,2023,4.3189435
COM,2019,0.83244753
MDG,2022,0.89582229
COM,2002,0.95670593
GNQ,2001,0.39180481
LSO,2023,5.84427834
RWA,2007,1.74627984
MWI,2014,1.56810546
DZA,2018,3.84471345
ETH,2006,1.12012815
DJI,2022,1.06819105
CIV,2006,0.5577988
KEN,2021,2.22920752
GAB,2021,1.65491903
ZAF,2021,5.49496222
MWI,2010,1.13196635
SYC,2008,2.40282655
MWI,2002,0.97493625
SDN,2022,0.82583225
GMB,2019,1.28750503
GHA,2015,1.5937829
SLE,2015,0.81068116
NGA,2023,0.54596561
CPV,2018,3.10238695
SYC,2021,3.72146273
CIV,2002,0.54329485
COG,2011,0.65133953
TZA,2008,2.25783944
SDN,2002,1.128654
TZA,2005,2.31116962
CIV,2001,0.50978333
BDI,2015,2.4195447
MLI,2004,1.58851421
UGA,2001,1.35010099
GHA,2002,0.65024012
EGY,2006,1.74427283
CPV,2021,4.58503008
GMB,2017,1.06097889
MAR,2001,1.00273478
BDI,2021,2.22447824
MDG,2008,1.41035628
NER,2014,1.27712584
MRT,2023,1.48361778
GIN,2003,0.42212996
AGO,2019,1.00303984
SDN,2018,1.03874981
COD,2013,0.46684277
MWI,2005,1.05274868
CAF,2013,0.98418158
SLE,2010,0.81356823
CPV,2008,2.23800421
TCD,2002,1.61589229
MUS,2022,2.52426147
NAM,2004,5.69722843
CAF,2009,0.73201287
BEN,2017,0.70637327
ERI,2023,0.84941107
GHA,2016,1.3003906
GIN,2014,0.61152339
GMB,2012,1.20622373
SEN,2018,1.11893904
SOM,2023,0.5303756
SDN,2010,1.64626622
RWA,2001,0.698044
KEN,2009,1.4598949
DZA,2006,2.18395877
ZMB,2005,1.24335968
DZA,2010,3.22398353
MOZ,2006,1.14244211
SDN,2006,1.77735722
GIN,2000,0.301292
RWA,2010,2.03921556
MOZ,2022,2.28882098
GIN,2019,0.92095226
NER,2016,1.10086405
NER,2004,1.18101633
DJI,2023,1.05232239
LBY,2016,4.16492653
GMB,2007,0.70619458
CPV,2012,2.79963088
CAF,2021,1.26395118
MLI,2018,1.15118647
MLI,2010,0.66893148
ZAF,2002,2.30570102
MOZ,2008,1.20704949
ZWE,2016,1.37225389
NGA,2012,0.54436672
NAM,2007,5.38635349
CPV,2023,3.42531776
TZA,2001,1.08908296
LSO,2012,5.62558651
GHA,2007,1.63629603
NAM,2023,5.54813719
TZA,2009,1.48484647
NGA,2001,0.8576929
COG,2013,0.93664998
TCD,2021,0.73647583
DJI,2021,0.76665086
GHA,2004,0.9509024
MAR,2020,2.46551728
GNB,2009,0.52002388
ERI,2007,1.21488249
MDG,2009,1.30581379
RWA,2019,1.76991165
EGY,2007,1.56855941
SEN,2009,1.40655613
MOZ,2020,2.3917768
GIN,2010,0.36297843
BWA,2023,4.72067308
CPV,2011,2.61180115
UGA,2000,1.26869214
BFA,2017,2.6879499
NER,2019,2.02236509
GNQ,2002,0.36000615
CMR,2000,0.64510846
RWA,2003,2.30380893
GNB,2016,0.48464295
ZMB,2019,2.25830793
CMR,2007,0.56892991
EGY,2004,1.57912993
DJI,2020,1.07290661
MRT,2020,1.00379241
TCD,2008,0.61977834
COM,2014,0.55491424
MAR,2004,1.01085818
NAM,2001,5.73190451
AGO,2010,1.46826649
COG,2014,0.94694966
GMB,2009,0.9055742
ETH,2000,1.79949319
ZMB,2004,1.31544065
KEN,2014,1.83768213
COD,2014,0.51571059
MWI,2018,1.68875861
GHA,2001,0.84126645
SYC,2001,3.75857329
BWA,2011,3.60456705
MLI,2008,0.71373433
GMB,2000,0.6015296
SDN,2004,1.57302713
ZMB,2018,2.08801126
MWI,2019,1.53329957
UGA,2003,1.47303784
SEN,2001,1.415766
ZWE,2021,0.87981081
MDG,2005,1.93450081
COG,2009,0.61770952
SYC,2006,3.44340944
MLI,2021,1.35538208
DJI,2002,1.28561246
MLI,2000,1.29321861
SLE,2001,0.65394258
COM,2012,0.79534382
CAF,2003,1.54274023
RWA,2014,2.19319296
GNB,2012,0.50444686
COG,2007,0.58651859
AGO,2017,1.12824702
LBY,2017,3.09533191
RWA,2017,1.56328964
STP,2021,3.36913323
KEN,2015,1.92388499
TGO,2013,0.96069103
ETH,2003,2.27634907
TUN,2019,3.56713367
LSO,2020,4.87197256
BFA,2018,2.12523532
GAB,2000,1.06383789
SWZ,2012,3.41336322
LSO,2003,3.14434719
LBR,2011,1.51829398
DZA,2014,4.21865416
BFA,2020,2.84514332
MUS,2001,1.57129419
GNQ,2006,0.45787242
SWZ,2013,3.32492328
BWA,2015,4.13518047
ZWE,2010,2.75333452
GNQ,2007,0.48071325
SLE,2014,1.02695739
SWZ,2016,2.84598303
SDN,2021,0.77320933
TCD,2004,1.47851741
STP,2010,2.11927414
MDG,2013,1.30425918
GAB,2009,1.54066849
MWI,2022,0.87697619
CMR,2004,0.70553547
NER,2003,1.07094669
GNB,2010,0.46807465
GHA,2011,2.35423017
BDI,2000,1.46507239
AGO,2021,1.51676536
MUS,2008,1.38968194
LBR,2000,0.64587975
SYC,2015,3.1209166
MLI,2009,0.66568589
GAB,2014,1.51668847
COD,2001,0.10641284
SEN,2005,1.59510648
DZA,2005,2.16108608
KEN,2000,0.99913371
SSD,2017,1.86679733
SDN,2008,1.73194993
CPV,2006,2.53359437
NGA,2021,0.54102808
BFA,2003,0.9801873
MLI,2022,1.36568475
BDI,2014,2.78679872
STP,2007,1.6642518
NER,2011,1.27229619
GAB,2004,1.35957062
CMR,2018,0.35133773
TZA,2019,1.6312809
COD,2015,0.62508768
GNB,2018,0.50527376
MWI,2013,1.48205006
ETH,2010,0.94396317
GNQ,2003,0.39797717
COM,2018,0.76553828
NAM,2008,4.89047384
CAF,2011,0.41518956
GMB,2018,1.04798186
ZMB,2002,1.89818621
TZA,2000,0.74586421
ZAF,2004,2.73156238
ETH,2015,0.96540898
DZA,2016,3.94321752
BWA,2001,3.50531387
MDG,2023,0.98797482
LBR,2009,1.1980319
MDG,2012,1.48979211
NAM,2010,4.88263464
ZWE,2013,2.01809144
NER,2006,2.05841017
COG,2023,1.12095106
COG,2001,0.96511757
COM,2021,0.94517165
MLI,2012,0.41352206
CMR,2014,0.58977377
LBR,2020,1.32303464
CMR,2008,0.55071974
BEN,2002,0.93714452
MUS,2000,1.52947044
GMB,2011,1.04374862
SLE,2000,0.56016588
ETH,2012,1.06663179
ZMB,2007,1.48783338
CAF,2015,0.45585203
COM,2005,0.69428998
ERI,2004,1.55933774
MWI,2008,1.3674773
EGY,2023,1.57523489
BWA,2014,3.99039125
EGY,2018,1.35182929
ZAF,2020,5.84510279
SYC,2016,3.25931096
ZMB,2010,1.55979979
RWA,2008,1.81383979
CAF,2014,0.71106249
SWZ,2001,2.38431859
TUN,2008,2.80299711
LBY,2023,6.25568771
DZA,2020,3.31185937
GNB,2015,0.53779858
CAF,2023,1.53037214
BEN,2010,0.7522946
SEN,2006,1.7594533
CAF,2019,0.81889474
RWA,2018,1.64325416
CMR,2011,0.5729565
ETH,2002,2.08121943
GHA,2012,1.97869766
GAB,2019,1.66963005
ERI,2014,0.51250237
SLE,2013,0.58837235
KEN,2016,2.03529072
UGA,2002,1.46629059
TCD,2014,0.94091558
GAB,2007,1.23346996
MOZ,2004,1.12229657
CMR,2021,0.48882192
ZMB,2006,1.32859325
TUN,2001,2.53689337
ZAF,2022,5.38311863
LBY,2004,2.22574258
MUS,2004,1.80295277
LBR,2006,0.47191602
MOZ,2002,1.17593813
STP,2011,2.29882646
TCD,2010,0.64793539
ETH,2009,0.90700704
DZA,2003,2.55061412
GNB,2000,0.5933851
NAM,2009,4.31238842
KEN,2004,1.07972252
UGA,2005,1.03255773
MAR,2013,1.82751834
EGY,2013,1.36696446
DZA,2019,3.27598047
CIV,2008,0.67955697
SLE,2023,0.78892416
BEN,2000,1.13417935
GHA,2022,2.03708911
COM,2022,0.8734315
TUN,2004,2.65803766
STP,2019,2.23238039
BEN,2009,0.86784607
MRT,2002,0.87326568
ZMB,2022,2.50694346
AGO,2009,2.23769045
LBY,2009,2.46476388
ZAF,2009,3.80475187
CPV,2019,3.24034405
NER,2020,2.31365919
TGO,2002,0.34117612
SYC,2005,3.62017798
ZMB,2003,1.45376873
EGY,2010,1.36768734
LBR,2003,0.4171488
CMR,2002,0.89175522
NAM,2013,5.20561123
ERI,2005,0.85298669
SWZ,2021,3.65004921
NER,2013,1.34044802
TGO,2004,0.44411397
LBY,2003,2.63191676
MOZ,2009,1.2755909
NAM,2016,5.76428509
MWI,2016,1.91101837
CAF,2008,0.84676838
